team_id,チーム名,選手名,試合数,総局数,ポイント,平着,1位,2位,3位,4位,トップ率,連対率,ラス回避率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点
1,EARTH JETS,HIRO 柴田,28.0,337.0,-405.0,2.85,3.0,8.0,7.0,10.0,0.1,0.39,0.64,80200.0,7380.39,0.2,0.21,0.15,0.12,5176.74
1,EARTH JETS,三浦 智博,27.0,336.0,-381.9,2.81,3.0,9.0,5.0,10.0,0.11,0.44,0.62,70900.0,6157.57,0.26,0.22,0.19,0.14,5500.0
1,EARTH JETS,逢川 恵夢,26.0,331.0,-114.3,2.53,3.0,11.0,7.0,5.0,0.11,0.53,0.8,60000.0,6555.07,0.25,0.23,0.2,0.14,6212.76
1,EARTH JETS,石井 一馬,39.0,449.0,160.7,2.38,13.0,7.0,10.0,9.0,0.33,0.51,0.76,55300.0,5818.75,0.26,0.23,0.21,0.09,5075.6
2,赤坂ドリブンズ,園田 賢,36.0,422.0,402.7,2.19,13.0,10.0,6.0,7.0,0.36,0.63,0.8,57000.0,7373.73,0.32,0.22,0.23,0.11,6266.66
2,赤坂ドリブンズ,鈴木 たろう,29.0,353.0,-334.9,2.75,3.0,8.0,11.0,7.0,0.1,0.37,0.75,50100.0,6148.52,0.29,0.22,0.19,0.13,5895.74
2,赤坂ドリブンズ,浅見 真紀,22.0,263.0,-104.1,2.63,4.0,4.0,10.0,4.0,0.18,0.36,0.81,60400.0,6220.33,0.25,0.22,0.22,0.11,6090.0
2,赤坂ドリブンズ,渡辺 太,33.0,391.0,282.9,2.27,10.0,10.0,7.0,6.0,0.3,0.6,0.81,68300.0,6124.21,0.32,0.22,0.24,0.09,5492.3
3,EX風林火山,二階堂 亜樹,26.0,334.0,271.5,2.3,9.0,6.0,5.0,6.0,0.34,0.57,0.76,65200.0,6492.42,0.23,0.17,0.19,0.08,4060.71
3,EX風林火山,勝又 健志,24.0,273.0,-398.2,2.79,1.0,9.0,8.0,6.0,0.04,0.41,0.75,50200.0,5902.04,0.2,0.2,0.17,0.13,6724.32
3,EX風林火山,内川 幸太郎,36.0,447.0,320.4,2.25,12.0,9.0,9.0,6.0,0.33,0.58,0.83,104700.0,6450.49,0.23,0.23,0.22,0.1,5379.16
3,EX風林火山,永井 孝典,34.0,425.0,503.6,2.11,14.0,7.0,8.0,5.0,0.41,0.61,0.85,67100.0,6938.04,0.18,0.26,0.21,0.11,5100.0
4,KADOKAWAサクラナイツ,岡田 紗佳,27.0,339.0,-160.8,2.7,4.0,8.0,7.0,8.0,0.14,0.44,0.7,97300.0,7021.42,0.21,0.28,0.2,0.12,5770.73
4,KADOKAWAサクラナイツ,堀 慎吾,32.0,360.0,-442.6,2.87,5.0,5.0,11.0,11.0,0.15,0.31,0.65,65500.0,7350.81,0.25,0.2,0.16,0.12,6360.0
4,KADOKAWAサクラナイツ,渋川 難波,35.0,446.0,176.7,2.4,9.0,10.0,9.0,7.0,0.25,0.54,0.8,77800.0,5946.46,0.25,0.22,0.22,0.09,3981.81
4,KADOKAWAサクラナイツ,阿久津 翔太,26.0,312.0,-200.0,2.69,5.0,6.0,7.0,8.0,0.19,0.42,0.69,57100.0,6313.04,0.22,0.28,0.22,0.14,6320.0
5,KONAMI 麻雀格闘倶楽部,滝沢 和典,33.0,405.0,368.4,2.33,14.0,3.0,7.0,9.0,0.42,0.51,0.72,67400.0,7251.16,0.23,0.2,0.21,0.09,5910.25
5,KONAMI 麻雀格闘倶楽部,佐々木 寿人,30.0,373.0,11.1,2.43,6.0,13.0,3.0,8.0,0.2,0.63,0.73,74400.0,6224.69,0.24,0.2,0.21,0.12,5420.0
5,KONAMI 麻雀格闘倶楽部,高宮 まり,27.0,309.0,220.7,2.37,9.0,5.0,7.0,6.0,0.33,0.51,0.77,53800.0,6607.81,0.24,0.19,0.2,0.13,3700.0
5,KONAMI 麻雀格闘倶楽部,伊達 朱里紗,30.0,374.0,91.2,2.46,8.0,8.0,6.0,8.0,0.26,0.53,0.73,60900.0,6320.25,0.25,0.25,0.21,0.08,4775.0
6,渋谷ABEMAS,多井 隆晴,39.0,480.0,123.4,2.35,11.0,9.0,13.0,6.0,0.28,0.51,0.84,58400.0,6200.0,0.23,0.17,0.2,0.07,5555.55
6,渋谷ABEMAS,白鳥 翔,35.0,430.0,110.2,2.31,7.0,15.0,8.0,5.0,0.2,0.62,0.85,45400.0,6350.0,0.31,0.22,0.21,0.09,6121.42
6,渋谷ABEMAS,松本 吉弘,26.0,322.0,-293.7,2.76,5.0,6.0,5.0,10.0,0.19,0.42,0.61,49600.0,6664.15,0.17,0.2,0.16,0.1,5964.7
6,渋谷ABEMAS,日向 藍子,20.0,253.0,-185.8,2.7,3.0,6.0,5.0,6.0,0.15,0.45,0.7,69600.0,6883.67,0.21,0.19,0.19,0.11,6373.33
