選手名,チーム名,平均打点,副露率,リーチ率,放銃率,放銃平均打点,ラス回避率
HIRO 柴田,EARTH JETS,7380.39,0.2,0.21,0.12,5176.74,0.64
三浦 智博,EARTH JETS,6157.57,0.26,0.22,0.14,5500.0,0.62
逢川 恵夢,EARTH JETS,6555.07,0.25,0.23,0.14,6212.76,0.8
石井 一馬,EARTH JETS,5818.75,0.26,0.23,0.09,5075.6,0.76
園田 賢,赤坂ドリブンズ,7373.73,0.32,0.22,0.11,6266.66,0.8
鈴木 たろう,赤坂ドリブンズ,6148.52,0.29,0.22,0.13,5895.74,0.75
浅見 真紀,赤坂ドリブンズ,6220.33,0.25,0.22,0.11,6090.0,0.81
渡辺 太,赤坂ドリブンズ,6124.21,0.32,0.22,0.09,5492.3,0.81
二階堂 亜樹,EX風林火山,6492.42,0.23,0.17,0.08,4060.71,0.76
勝又 健志,EX風林火山,5902.04,0.2,0.2,0.13,6724.32,0.75
内川 幸太郎,EX風林火山,6450.49,0.23,0.23,0.1,5379.16,0.83
永井 孝典,EX風林火山,6938.04,0.18,0.26,0.11,5100.0,0.85
岡田 紗佳,KADOKAWAサクラナイツ,7021.42,0.21,0.28,0.12,5770.73,0.7
堀 慎吾,KADOKAWAサクラナイツ,7350.81,0.25,0.2,0.12,6360.0,0.65
渋川 難波,KADOKAWAサクラナイツ,5946.46,0.25,0.22,0.09,3981.81,0.8
阿久津 翔太,KADOKAWAサクラナイツ,6313.04,0.22,0.28,0.14,6320.0,0.69
滝沢 和典,KONAMI 麻雀格闘倶楽部,7251.16,0.23,0.2,0.09,5910.25,0.72
佐々木 寿人,KONAMI 麻雀格闘倶楽部,6224.69,0.24,0.2,0.12,5420.0,0.73
高宮 まり,KONAMI 麻雀格闘倶楽部,6607.81,0.24,0.19,0.13,3700.0,0.77
伊達 朱里紗,KONAMI 麻雀格闘倶楽部,6320.25,0.25,0.25,0.08,4775.0,0.73
多井 隆晴,渋谷ABEMAS,6200.0,0.23,0.17,0.07,5555.55,0.84
白鳥 翔,渋谷ABEMAS,6350.0,0.31,0.22,0.09,6121.42,0.85
松本 吉弘,渋谷ABEMAS,6664.15,0.17,0.2,0.1,5964.7,0.61
日向 藍子,渋谷ABEMAS,6883.67,0.21,0.19,0.11,6373.33,0.7
茅森 早香,セガサミーフェニックス,6492.42,0.23,0.18,0.11,5835.48,0.76
竹内 元太,セガサミーフェニックス,6009.87,0.22,0.18,0.09,4897.22,0.81
醍醐 大,セガサミーフェニックス,6431.46,0.28,0.2,0.09,4577.77,0.75
浅井 堂岐,セガサミーフェニックス,6937.28,0.26,0.22,0.08,5144.44,0.68
萩原 聖人,TEAM RAIDEN / 雷電,6707.69,0.27,0.17,0.1,4872.09,0.73
瀬戸熊 直樹,TEAM RAIDEN / 雷電,7345.45,0.15,0.27,0.13,5269.38,0.68
黒沢 咲,TEAM RAIDEN / 雷電,7198.38,0.14,0.22,0.12,5932.43,0.73
本田 朋広,TEAM RAIDEN / 雷電,5577.52,0.25,0.24,0.11,5804.08,0.8
東城 りお,BEAST X,5571.95,0.27,0.24,0.11,5309.52,0.78
鈴木 大介,BEAST X,5942.62,0.27,0.21,0.12,5011.9,0.66
中田 花奈,BEAST X,6570.42,0.25,0.23,0.1,6177.41,0.81
下石 戟,BEAST X,6588.99,0.3,0.23,0.1,4762.22,0.84
小林 剛,U-NEXT Pirates,4885.18,0.34,0.18,0.12,5023.68,0.6
瑞原 明奈,U-NEXT Pirates,7063.15,0.22,0.26,0.12,6173.33,0.65
鈴木 優,U-NEXT Pirates,6577.0,0.3,0.27,0.13,5434.54,0.67
仲林 圭,U-NEXT Pirates,7094.28,0.25,0.2,0.12,5392.45,0.71
